step_index,simulation_time_utc,severity,code,component_id,port_id,message,numeric_context_json
0,2026-01-01T00:00:00.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
0,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
0,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":346.31962131260582}"
1,2026-01-01T00:00:01.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
1,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
1,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":350.5755104608059}"
2,2026-01-01T00:00:02.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
2,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
2,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":354.8151392808436}"
3,2026-01-01T00:00:03.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
3,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
3,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":359.03858322011888}"
4,2026-01-01T00:00:04.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
4,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
4,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":363.24591728926811}"
5,2026-01-01T00:00:05.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
5,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
5,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":367.43721606518289}"
6,2026-01-01T00:00:06.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
6,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
6,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":371.61255369402249}"
7,2026-01-01T00:00:07.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
7,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
7,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":375.77200389418653}"
8,2026-01-01T00:00:08.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
8,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
8,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":379.91563995928084}"
9,2026-01-01T00:00:09.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
9,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
9,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":384.0435347610445}"
10,2026-01-01T00:00:10.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
10,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
10,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":388.15576075227017}"
11,2026-01-01T00:00:11.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
11,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
11,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":392.25238996967994}"
12,2026-01-01T00:00:12.0000000Z,Information,SILICA.VAPOR_AVAILABILITY_LIMIT,silica-gel-bed,,Water transfer was limited by available inlet vapor.,
12,2026-01-01T00:00:00.0000000Z,Information,CONDENSER.NO_CONDENSATION,condenser,,Surface temperature is at or above inlet dew point; sensible cooling only.,
12,2026-01-01T00:00:00.0000000Z,Warning,CONDENSER.COOLING_POWER_LIMITED,condenser,,Available cooling power limits outlet approach to the ideal apparatus state.,"{""availableCoolingW"":200,""idealCoolingW"":396.33349403680796}"
