metric_id,value,unit
status,CompletedWithWarnings,enum
succeeded,1,bool
balance.energy.maximumAbsoluteResidualJ,2.8590178771992214E-05,J
balance.water.maximumAbsoluteResidualKg,8.3483567281383841E-18,kg
balance.dryAir.maximumAbsoluteResidualKg,0,kg
balance.energy.aggregatedResidualJ,-0.00081229698844254017,J
balance.water.aggregatedResidualKg,2.3245294578089215E-16,kg
diagnostics.warningCount,30,count
diagnostics.errorCount,0,count
balance.dryAir.maximumAbsoluteResidualKg,0,scalar
balance.energy.maximumAbsoluteResidualJ,2.8590178771992214E-05,scalar
balance.energy.residualAbsMaxJ,2.8590178771992214E-05,scalar
balance.water.maximumAbsoluteResidualKg,8.3483567281383841E-18,scalar
balance.water.residualAbsMaxKg,8.3483567281383841E-18,scalar
integral.condenser.liquid_out.massFlow,0,scalar
steps.captured,30,scalar
steps.total,30,scalar
water.collected.totalKg,0,scalar
water.collected.totalLitersApprox,0,scalar
water.production.averageKgPerDay,0,scalar
