hour,temperatureC,rhPercent,ghiWPerM2,waterKg,dominantMode,meanPeltierW,fanOnFraction
0,19.916666666666686,60.333333333333329,0,0.003016343881156206,Standby,17.671800062391494,0.48472222222222222
1,19.75,61,0,0.012641847221560041,Condensation,42,1
2,19.583333333333314,61.666666666666671,0,0.016526489159623781,Condensation,42,1
3,19.75,60.833333333333343,0,0.018591617319840374,Condensation,42,1
4,20.25,58.5,0,0.019378823776433015,Condensation,42,1
5,20.75,56.166666666666679,0,0.018903595357804337,Condensation,42,1
6,21.75,52.5,60,0.018113676544190851,Condensation,42,1
7,23.375,48,220,0.02013693949179466,Condensation,42,1
8,25.125,44,420,0.020567581721370787,Condensation,42,1
9,26.666666666666686,40.666666666666664,583.33333333333337,0.019127291940136393,Condensation,42,1
10,28,38,710,0.018090613813843102,Condensation,42,1
11,29.333333333333314,35.333333333333336,836.66666666666674,0.017305329919607499,Condensation,42,1
12,30.333333333333314,33.333333333333336,908.33333333333337,0.01644031556692795,Condensation,42,1
13,31,32,925,0.015761835711339343,Condensation,42,1
14,31.666666666666686,30.666666666666664,941.66666666666663,0.015267595498142434,Condensation,42,1
15,31.5,30.75,817.5,0.014520112179164397,Condensation,42,1
16,30.5,32.25,552.5,0.014140673291654587,Condensation,42,1
17,29,35.5,210,0.014210912528159581,Condensation,42,1
18,27.25,40,0,0.01512919784056691,Condensation,42,1
19,25.75,44,0,0.01612799804005988,Condensation,42,1
20,24.25,48,0,0.016895966227020647,Condensation,42,1
21,22.916666666666686,51.666666666666657,0,0.017609065514891744,Condensation,42,1
22,21.75,55.000000000000007,0,0.018235108041249289,Condensation,42,1
23,20.583333333333314,58.333333333333329,0,0.018681513762951536,Condensation,42,1
