id,ambientTemperatureC,silicaGelKg,passed,waterKg,litersPerDay,finalBusPowerW,finalBatterySoc
dry-sunny-T10C-silica1kg,10,1,true,0,0,0,0.90000000000000002
dry-sunny-T10C-silica2kg,10,2,true,0,0,0,0.90000000000000002
dry-sunny-T10C-silica3kg,10,3,true,0,0,0,0.90000000000000002
dry-sunny-T10C-silica4kg,10,4,true,0,0,0,0.90000000000000002
dry-sunny-T10C-silica5kg,10,5,true,0,0,0,0.90000000000000002
dry-sunny-T15C-silica1kg,15,1,true,0,0,0,0.90000000000000002
dry-sunny-T15C-silica2kg,15,2,true,0,0,0,0.90000000000000002
dry-sunny-T15C-silica3kg,15,3,true,0,0,0,0.90000000000000002
dry-sunny-T15C-silica4kg,15,4,true,0,0,0,0.90000000000000002
dry-sunny-T15C-silica5kg,15,5,true,0,0,0,0.90000000000000002
dry-sunny-T20C-silica1kg,20,1,true,0,0,0,0.90000000000000002
dry-sunny-T20C-silica2kg,20,2,true,0,0,0,0.90000000000000002
dry-sunny-T20C-silica3kg,20,3,true,0,0,0,0.90000000000000002
dry-sunny-T20C-silica4kg,20,4,true,0,0,0,0.90000000000000002
dry-sunny-T20C-silica5kg,20,5,true,0,0,0,0.90000000000000002
dry-sunny-T25C-silica1kg,25,1,true,3.8716110365433802E-06,0.011150239785244934,0,0.90000000000000002
dry-sunny-T25C-silica2kg,25,2,true,0,0,0,0.90000000000000002
dry-sunny-T25C-silica3kg,25,3,true,0,0,0,0.90000000000000002
dry-sunny-T25C-silica4kg,25,4,true,0,0,0,0.90000000000000002
dry-sunny-T25C-silica5kg,25,5,true,0,0,0,0.90000000000000002
dry-sunny-T30C-silica1kg,30,1,true,0.00012937607559090696,0.37260309770181205,0,0.90000000000000002
dry-sunny-T30C-silica2kg,30,2,true,4.1649136370737457E-05,0.11994951274772388,0,0.90000000000000002
dry-sunny-T30C-silica3kg,30,3,true,0,0,0,0.90000000000000002
dry-sunny-T30C-silica4kg,30,4,true,0,0,0,0.90000000000000002
dry-sunny-T30C-silica5kg,30,5,true,0,0,0,0.90000000000000002
dry-sunny-T35C-silica1kg,35,1,true,0.00030667623302929603,0.88322755112437257,0,0.90000000000000002
dry-sunny-T35C-silica2kg,35,2,true,0.00018164117179026603,0.52312657475596613,0,0.90000000000000002
dry-sunny-T35C-silica3kg,35,3,true,6.488622910435692E-05,0.18687233982054793,0,0.90000000000000002
dry-sunny-T35C-silica4kg,35,4,true,0,0,0,0.90000000000000002
dry-sunny-T35C-silica5kg,35,5,true,0,0,0,0.90000000000000002
